Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
ELIPSOIDE3;CALIBAN025m;60;9,85E-01;1,00E+00;7,21E-01;0,00E+00;1,28E-02;9,43E-01;3,15E-07;2,16E-07
CYLINDRIQUE;CALIBAN025m;210;0,00E+00;1,31E-01;9,67E-01;1,00E+00;9,98E-01;1,29E-01;2,88E-07;2,27E-07
ELIPSOIDE3;CALIBAN025m;285;8,95E-01;0,00E+00;2,60E-02;8,96E-01;1,00E+00;9,92E-01;3,27E-07;2,22E-07
ELIPSOIDE1;CALIBAN025m;150;8,26E-02;9,64E-01;1,00E+00;9,83E-01;5,33E-01;0,00E+00;3,28E-07;1,99E-07
ELIPSOIDE2;SILENENU05m;150;6,23E-02;9,67E-01;1,00E+00;9,75E-01;3,48E-01;0,00E+00;1,98E-07;1,42E-07
ELIPSOIDE4;SILENENU4m;45;1,00E+00;9,95E-01;4,13E-02;0,00E+00;3,50E-02;9,62E-01;8,71E-08;8,13E-08
ELIPSOIDE2;Flattop;210;0,00E+00;3,54E-01;9,75E-01;1,00E+00;9,81E-01;5,61E-02;1,43E-08;1,02E-08
ELIPSOIDE4;SILENENU4m;30;1,00E+00;9,84E-01;1,97E-02;0,00E+00;1,53E-01;9,99E-01;9,03E-08;7,92E-08
ELIPSOIDE4;SILENENU4m;180;1,67E-03;7,92E-01;9,94E-01;1,00E+00;8,35E-01;0,00E+00;1,03E-07;7,22E-08
ELIPSOIDE3;SILENEPb4m;270;5,08E-01;0,00E+00;5,04E-01;9,74E-01;1,00E+00;9,85E-01;5,16E-08;2,82E-08
CYLINDRIQUE;CALIBAN3m;285;4,93E-01;0,00E+00;4,14E-02;9,59E-01;1,00E+00;9,84E-01;2,35E-07;1,64E-07
ELIPSOIDE4;SILENENU4m;225;0,00E+00;3,56E-02;9,62E-01;1,00E+00;9,91E-01;4,09E-02;8,71E-08;8,12E-08
ELIPSOIDE1;SILENENU4m;15;9,93E-01;1,00E+00;3,37E-02;0,00E+00;9,49E-01;9,61E-01;1,15E-07;6,77E-08
ELIPSOIDE1;SILENENU05m;75;1,00E+00;9,87E-01;8,89E-01;6,17E-02;0,00E+00;8,97E-01;2,20E-07;1,38E-07
ELIPSOIDE1;SILENENU05m;180;5,42E-03;7,72E-01;1,00E+00;9,73E-01;7,94E-01;0,00E+00;2,18E-07;1,29E-07
ELIPSOIDE4;CALIBAN3m;360;1,00E+00;8,35E-01;4,02E-04;0,00E+00;7,99E-01;9,98E-01;2,33E-07;1,62E-07
ELIPSOIDE1;SILENENU4m;300;9,42E-01;3,07E-02;0,00E+00;7,60E-01;9,73E-01;1,00E+00;1,09E-07;6,89E-08
ELIPSOIDE1;Flattop;135;1,62E-01;9,47E-01;9,69E-01;1,00E+00;1,59E-01;0,00E+00;1,41E-08;9,79E-09
ELIPSOIDE1;Flattop;195;0,00E+00;9,37E-01;9,97E-01;1,00E+00;9,51E-01;4,94E-02;1,64E-08;9,36E-09
ELIPSOIDE2;SILENENU05m;60;1,00E+00;9,93E-01;7,71E-01;0,00E+00;1,85E-02;8,77E-01;2,08E-07;1,38E-07
ELIPSOIDE4;Flattop;195;0,00E+00;7,43E-01;9,94E-01;1,00E+00;9,55E-01;9,59E-03;1,51E-08;1,04E-08
