Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle (barns);Ecart type reel
M1A;Flattop;60;9,91E-01;1,00E+00;0,00E+00;4,20E-01;9,79E-01;9,88E-01;1,85E-08;8,10E-09
M1C;CALIBAN025m;300;0,00E+00;9,85E-01;9,88E-01;9,99E-01;1,00E+00;6,25E-01;4,05E-07;1,65E-07
M1C;SILENENU4m;195;9,62E-01;6,35E-01;1,00E+00;9,74E-01;0,00E+00;9,76E-05;1,05E-07;7,19E-08
M1E;SILENENU05m;270;7,33E-03;8,37E-01;1,00E+00;9,74E-01;8,20E-01;0,00E+00;2,17E-07;1,37E-07
M1E;CALIBAN3m;225;2,80E-01;1,00E+00;9,70E-01;9,76E-01;1,44E-01;0,00E+00;2,27E-07;1,63E-07
M1E;SILENENU4m;225;2,77E-01;1,00E+00;9,69E-01;9,76E-01;1,39E-01;0,00E+00;9,98E-08;7,26E-08
M1C;CALIBAN3m;165;1,00E+00;9,92E-01;3,93E-01;2,75E-02;0,00E+00;5,06E-01;1,98E-07;1,49E-07
M1E;Flattop;180;1,00E+00;2,72E-01;8,36E-01;4,67E-01;0,00E+00;8,86E-02;1,09E-08;8,69E-09
M1C;SILENEPb4m;240;2,32E-01;1,00E+00;9,65E-01;9,55E-01;8,49E-01;0,00E+00;5,57E-08;2,85E-08
M1A;CALIBAN025m;150;9,99E-01;1,00E+00;8,23E-01;0,00E+00;4,31E-02;7,79E-01;3,27E-07;1,90E-07
M1C;CALIBAN3m;300;0,00E+00;9,85E-01;9,94E-01;9,97E-01;1,00E+00;6,23E-01;3,04E-07;1,26E-07
M1A;SILENENU05m;345;1,58E-02;0,00E+00;9,58E-01;1,00E+00;3,08E-01;9,36E-01;1,95E-07;1,40E-07
M1A;Flattop;105;1,00E+00;9,56E-01;8,86E-02;0,00E+00;9,83E-01;9,78E-01;1,76E-08;8,82E-09
M1A;SILENENU05m;45;9,40E-01;5,56E-01;0,00E+00;9,69E-01;9,91E-01;1,00E+00;2,61E-07;1,11E-07
M1C;CALIBAN3m;360;8,56E-02;0,00E+00;7,22E-01;9,93E-01;7,34E-01;1,00E+00;2,29E-07;1,49E-07
M1A;CALIBAN025m;90;1,00E+00;7,40E-01;0,00E+00;4,34E-02;8,24E-01;9,84E-01;3,48E-07;1,70E-07
M1A;CALIBAN025m;210;2,68E-01;3,43E-01;1,00E+00;7,65E-01;1,17E-01;0,00E+00;2,39E-07;1,67E-07
M1E;CALIBAN3m;45;9,31E-01;3,26E-02;0,00E+00;5,31E-01;1,00E+00;9,67E-01;2,36E-07;1,62E-07
M1A;SILENENU4m;30;7,67E-01;3,29E-02;0,00E+00;8,27E-01;1,00E+00;9,86E-01;1,10E-07;6,45E-08
M1E;SILENENU4m;120;9,83E-01;1,00E+00;1,11E-01;0,00E+00;1,64E-01;9,88E-01;9,53E-08;7,48E-08
M1E;SILENENU4m;195;9,76E-01;4,47E-01;9,75E-01;1,00E+00;0,00E+00;9,50E-03;9,68E-08;7,16E-08
M1C;SILENEPb4m;285;0,00E+00;9,67E-01;9,94E-01;1,00E+00;9,42E-01;1,85E-01;5,58E-08;2,88E-08
M1E;CALIBAN3m;240;9,98E-01;9,96E-01;1,00E+00;9,93E-01;3,12E-01;0,00E+00;2,83E-07;1,51E-07
M1E;CALIBAN3m;315;0,00E+00;1,33E-01;9,75E-01;9,65E-01;1,00E+00;3,61E-01;2,32E-07;1,61E-07
M1C;CALIBAN3m;30;7,85E-01;1,79E-02;0,00E+00;8,40E-01;9,99E-01;1,00E+00;2,45E-07;1,55E-07
M1C;SILENENU05m;285;0,00E+00;9,54E-01;9,99E-01;1,00E+00;9,23E-01;1,96E-01;2,44E-07;1,22E-07
M1A;Flattop;150;9,98E-01;1,00E+00;7,91E-01;0,00E+00;4,86E-02;7,92E-01;1,55E-08;9,00E-09
M1E;SILENEPb4m;360;8,15E-02;0,00E+00;4,61E-01;8,31E-01;2,43E-01;1,00E+00;3,41E-08;2,82E-08
M1E;CALIBAN025m;30;7,75E-01;0,00E+00;6,42E-03;1,88E-01;1,00E+00;9,59E-01;2,70E-07;2,19E-07
M1C;Flattop;105;9,99E-01;9,21E-01;6,55E-02;0,00E+00;1,00E+00;9,78E-01;1,71E-08;9,54E-09
M1E;SILENEPb4m;15;2,20E-01;0,00E+00;3,45E-02;9,82E-01;4,59E-01;1,00E+00;3,58E-08;3,11E-08
M1E;Flattop;345;4,42E-03;0,00E+00;1,00E+00;9,55E-01;5,13E-01;9,62E-01;1,41E-08;1,01E-08
M1A;SILENENU05m;210;2,66E-01;3,39E-01;1,00E+00;7,68E-01;1,12E-01;0,00E+00;1,56E-07;1,12E-07
M1C;CALIBAN025m;135;1,00E+00;9,89E-01;3,49E-01;0,00E+00;1,69E-01;9,55E-01;3,11E-07;1,96E-07
M1A;SILENEPb4m;195;9,63E-01;4,21E-01;1,00E+00;9,63E-01;0,00E+00;4,38E-02;4,56E-08;3,11E-08
M1A;SILENENU4m;330;0,00E+00;1,01E-01;7,88E-01;1,00E+00;4,74E-01;3,04E-01;8,57E-08;5,62E-08
