Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
60;9,86E-01;1,00E+00;8,29E-01;0,00E+00;1,25E-03;8,86E-01;1,27E-06;8,63E-07;;
90;9,74E-01;1,00E+00;9,68E-01;4,90E-01;0,00E+00;4,91E-01;7,64E-07;4,24E-07;;
15;7,68E-01;9,62E-01;8,63E-02;0,00E+00;1,00E+00;7,91E-01;1,55E-06;4,49E-07;;
60;1,00E+00;9,85E-01;8,16E-01;0,00E+00;2,91E-02;8,67E-01;3,31E-07;2,03E-07;;
240;0,00E+00;9,18E-04;8,20E-01;1,00E+00;9,99E-01;8,42E-01;4,84E-08;3,24E-08;;
75;8,12E-01;6,69E-01;9,71E-01;1,71E-01;0,00E+00;1,00E+00;7,64E-07;2,78E-07;;
300;8,62E-01;7,28E-04;0,00E+00;8,44E-01;9,87E-01;1,00E+00;1,07E-07;7,05E-08;;
165;2,05E-02;9,88E-01;9,81E-01;1,00E+00;8,80E-01;0,00E+00;1,14E-07;7,33E-08;;
135;1,97E-02;9,94E-01;1,00E+00;9,86E-01;1,68E-02;0,00E+00;5,88E-07;5,69E-07;;
135;5,01E-01;9,64E-01;1,00E+00;9,43E-01;4,35E-02;0,00E+00;4,62E-08;3,24E-08;;
225;0,00E+00;6,17E-02;9,69E-01;1,00E+00;9,77E-01;6,60E-02;4,11E-08;3,63E-08;;
345;1,00E+00;6,78E-01;0,00E+00;4,55E-02;9,67E-01;9,92E-01;3,26E-07;2,13E-07;;
255;1,83E-01;0,00E+00;1,00E+00;7,95E-01;6,60E-01;9,55E-01;7,63E-07;2,74E-07;;
330;9,89E-01;1,59E-01;0,00E+00;2,16E-02;9,82E-01;1,00E+00;2,05E-07;1,78E-07;;
195;0,00E+00;9,48E-01;9,73E-01;1,00E+00;9,90E-01;2,77E-02;1,13E-07;7,20E-08;;
165;6,16E-02;9,83E-01;9,77E-01;1,00E+00;9,41E-01;0,00E+00;2,26E-06;1,18E-06;;
255;2,96E-02;0,00E+00;8,92E-01;1,00E+00;9,83E-01;8,94E-01;1,79E-06;1,20E-06;;
30;1,00E+00;9,88E-01;1,00E-01;0,00E+00;1,04E-01;9,95E-01;1,10E-06;9,28E-07;;
45;1,00E+00;9,92E-01;5,71E-02;0,00E+00;5,06E-02;9,78E-01;1,28E-06;1,17E-06;;
60;9,90E-01;1,00E+00;6,97E-01;0,00E+00;1,10E-02;9,40E-01;1,05E-07;7,29E-08;;
150;7,77E-02;9,46E-01;1,00E+00;9,81E-01;5,16E-01;0,00E+00;2,14E-07;1,33E-07;;
315;9,94E-01;3,76E-02;0,00E+00;4,06E-02;9,81E-01;1,00E+00;1,73E-07;1,62E-07;;
165;1,05E-01;9,80E-01;9,72E-01;1,00E+00;8,07E-01;0,00E+00;2,22E-06;1,19E-06;;
15;9,27E-01;1,00E+00;7,93E-02;0,00E+00;9,74E-01;9,40E-01;2,36E-06;1,00E-06;;
45;9,72E-01;1,00E+00;2,76E-01;0,00E+00;2,62E-01;9,97E-01;2,13E-06;1,03E-06;;
180;0,00E+00;8,26E-01;9,98E-01;1,00E+00;7,85E-01;1,54E-03;1,24E-06;8,31E-07;;
195;0,00E+00;1,00E+00;8,05E-01;7,70E-01;9,61E-01;8,54E-02;1,55E-06;4,49E-07;;
75;1,00E+00;9,69E-01;9,20E-01;5,19E-02;0,00E+00;9,24E-01;1,85E-06;1,19E-06;;
210;0,00E+00;2,10E-01;9,79E-01;1,00E+00;9,68E-01;3,42E-02;1,54E-06;1,28E-06;;
225;0,00E+00;2,26E-02;9,89E-01;1,00E+00;9,98E-01;2,45E-02;1,03E-06;9,89E-07;;
195;0,00E+00;8,75E-01;9,50E-01;9,35E-01;1,00E+00;3,04E-02;2,14E-06;1,34E-06;;
